Model,Image_Index,Prompt,CLIP score,BLEU score,Cosine similarity score,Inference Time (sec/image),GPU Memory Usage (MB),Throughput (img/sec)
StableDiffusion,0,A cat holding a sign that says hello world,18.9,1.0,0.3,6.3,6261.0,0.2
StableDiffusion,1,A futuristic city with flying cars,20.4,1.0,0.3,5.7,6261.0,0.2
StableDiffusion,2,An astronaut riding a horse in space,18.8,1.0,0.4,5.7,6261.0,0.2
SDXL_Turbo,0,A cat holding a sign that says hello world,22.8,1.0,0.3,9.0,6261.0,0.1
SDXL_Turbo,1,A futuristic city with flying cars,18.5,1.0,0.3,9.0,6261.0,0.1
SDXL_Turbo,2,An astronaut riding a horse in space,19.2,1.0,0.4,9.0,6261.0,0.1
